tanggal,komoditi,satuan,harga
2020-07-17,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-20,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-21,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-22,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-23,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-24,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-27,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-28,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-29,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-30,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-01,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-02,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-03,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-06,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-07,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-08,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-09,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-10,"Daging Sapi, Lokal, Has Dalam",Kg,138333.3333
2020-07-13,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-14,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-15,"Daging Sapi, Lokal, Has Dalam",Kg,133333.3333
2020-07-16,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-17,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-20,"Daging Sapi, Lokal, Has Dalam",Kg,133333.3333
2020-07-21,"Daging Sapi, Lokal, Has Dalam",Kg,133333.3333
2020-07-22,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-23,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-24,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-27,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-28,"Daging Sapi, Lokal, Has Dalam",Kg,131666.6667
2020-07-29,"Daging Sapi, Lokal, Has Dalam",Kg,135000
2020-07-30,"Daging Sapi, Lokal, Has Dalam",Kg,133333.3333
2020-07-01,Ayam Boiler,ekor,38000
2020-07-02,Ayam Boiler,ekor,38000
2020-07-03,Ayam Boiler,ekor,39000
2020-07-06,Ayam Boiler,ekor,40000
2020-07-07,Ayam Boiler,ekor,39000
2020-07-08,Ayam Boiler,ekor,42000
2020-07-09,Ayam Boiler,ekor,40000
2020-07-10,Ayam Boiler,ekor,38000
2020-07-13,Ayam Boiler,ekor,37600
2020-07-14,Ayam Boiler,ekor,40000
2020-07-15,Ayam Boiler,ekor,39000
2020-07-16,Ayam Boiler,ekor,37600
2020-07-17,Ayam Boiler,ekor,37800
2020-07-20,Ayam Boiler,ekor,38000
2020-07-21,Ayam Boiler,ekor,34400
2020-07-22,Ayam Boiler,ekor,37000
2020-07-23,Ayam Boiler,ekor,37100
2020-07-24,Ayam Boiler,ekor,36200
2020-07-27,Ayam Boiler,ekor,36700
2020-07-28,Ayam Boiler,ekor,37100
2020-07-29,Ayam Boiler,ekor,37100
2020-07-30,Ayam Boiler,ekor,37500
2020-07-01,Ayam Kampung,ekor,76000
2020-07-02,Ayam Kampung,ekor,76000
2020-07-03,Ayam Kampung,ekor,76000
2020-07-06,Ayam Kampung,ekor,76000
2020-07-07,Ayam Kampung,ekor,76000
2020-07-08,Ayam Kampung,ekor,76000
2020-07-09,Ayam Kampung,ekor,76000
2020-07-10,Ayam Kampung,ekor,75000
2020-07-13,Ayam Kampung,ekor,76000
2020-07-14,Ayam Kampung,ekor,75000
2020-07-15,Ayam Kampung,ekor,75000
2020-07-16,Ayam Kampung,ekor,75000
2020-07-17,Ayam Kampung,ekor,76000
2020-07-20,Ayam Kampung,ekor,81000
2020-07-21,Ayam Kampung,ekor,88000
2020-07-22,Ayam Kampung,ekor,77000
2020-07-23,Ayam Kampung,ekor,79000
